User_ID;User_Name;CFC;Izquierda;Derecha;Libertario;Centro
1154922186;elpipe_vasquez;1154922186;0;0;0;0
165487027;rioinostroza;165487027;0;0;0;0
100128187;Marce_RT_;7668952;34.4262;28.6885;0;36.8852
72744607;juanpatriciosb;72744607;0;0;0;0
3421304343;CuartetoAdvis;3421304343;0;0;0;0
772948157441404928;rancagunos2015;772948157441404928;0;0;0;0
1373415932;mishowcl;1373415932;0;0;0;0
2350153458;DyctenSL;2350153458;0;0;0;0
1377380736928464899;MewMapu;1377380736928464899;0;0;0;0
141968567;FortinetLATAM;141968567;0;0;0;0
1656003944;bveronica787;1656003944;0;0;0;0
1005895975603527681;mvalenzuela2021;1005895975603527681;0;0;0;0
618575308;Ruthgd1;618575308;0;0;0;0
1149324023442104325;profepepita;1149324023442104325;0;0;0;0
162192513;yo_Landinez;162192513;0;0;0;0
775066011116638212;eviteelalza;775066011116638212;0;0;0;0
540422988;ignacia0k;540422988;0;0;0;0
119092997;reyeseyzaguirre;119092997;0;0;0;0
707749793288884224;Ivanvegas73hot1;7668952;36.7893;30.1003;0;33.1104
1063949091720306688;Don_Rivera_;1063949091720306688;0;0;0;0
296548262;raulsaavedra1;296548262;0;0;0;0
50552855;ramonmalleaa;50552855;0;0;0;0
348836712;ezgzowzcpu;348836712;0;0;0;0
1378159070599901185;halabi_nicolas;1378159070599901185;0;0;0;0
2350569440;maxreservawines;2350569440;0;0;0;0
117627860;ccontreritas;7668952;28.4294;38.7674;0;32.8032
1046672437;EpulefValeria;1046672437;0;0;0;0
328602267;FrankRHB;328602267;0;0;0;0
1381437046372376580;Patrici98150912;1381437046372376580;0;0;0;0
1360021612075040783;MayraBelnGmez1;1360021612075040783;0;0;0;0
942775872775512064;kimcheapp;942775872775512064;0;0;0;0
1357319676678791170;EmmaTommas;1357319676678791170;0;0;0;0
143489734;Javiera101;143489734;0;0;0;0
939513822578184193;MixLuy;939513822578184193;0;0;0;0
3517444829;PiensaPrensa;3517444829;0;0;0;0
1388300127417294852;SanchezRosaMar6;1388300127417294852;0;0;0;0
188394095;rodrigo_alex69;188394095;0;0;0;0
