CFC_ID;Lider_User_Name;Num_Miembros;Izquierda;Derecha;Libertario;Centro;Miembros;Arcos
1352757908098985985;Bass27630565;1;0;0;0;0;1352757908098985985;
1327714173275561984;FSconstituyente;1;0;0;0;0;1327714173275561984;
2832296533;nazzer19751;1;0;0;0;0;2832296533;
3366388215;CristianElek123;1;0;0;0;0;3366388215;
576640394;gabrielajarrel;1;0;0;0;0;576640394;
880622394389483521;gnzloiv;1;0;0;0;0;880622394389483521;
1306018238602588161;JoseArnguiz1;1;0;0;0;0;1306018238602588161;
745784323;Marielah_vegas;1;0;0;0;0;745784323;
1178643232915410949;lanutrisuit;1;0;0;0;0;1178643232915410949;
193321289;edinson_garcia;1;0;0;0;0;193321289;
1010568234049908737;emiisb;1;0;0;0;0;1010568234049908737;
585318194;PatricioBustos4;1;0;0;0;0;585318194;
1330325570912186372;Homerosprinfie1;1;0;0;0;0;1330325570912186372;
109397423;claupmorales;1;0;0;0;0;109397423;
1379622493590261765;FelipeAlbo32;1;0;0;0;0;1379622493590261765;
491983924;DelenaNWolfsber;1;0;0;0;0;491983924;
45990105;lobosorno;1;0;0;0;0;45990105;
66127369;reinaldoestay;1;0;0;0;0;66127369;
1269014584276508676;Liloo25li;1;0;0;0;0;1269014584276508676;
806206230075211776;ruzmariano1;1;0;0;0;0;806206230075211776;
447864448;fransepulvedac;1;0;0;0;0;447864448;
58557652;chiguayanteCL;1;0;0;0;0;58557652;
40753142;claudiomendez;1;0;0;0;0;40753142;
1398140255644045314;mnesitheos;1;0;0;0;0;1398140255644045314;
2295131311;camilo_1021;1;0;0;0;0;2295131311;
1171944545900204032;linternasrotas;1;0;0;0;0;1171944545900204032;
1071489782012882944;alergiaacasito1;1;0;0;0;0;1071489782012882944;
115516763;MeliCBustos;1;0;0;0;0;115516763;
482541161;martinezhuenchu;1;0;0;0;0;482541161;
34835084;MR_PARLOTERO;1;0;0;0;0;34835084;
160074969;javibadilla;1;0;0;0;0;160074969;
1343627763111096323;tecitto;1;0;0;0;0;1343627763111096323;
985736040;guuary;1;0;0;0;0;985736040;
1384637299154096130;Ignacio70167259;1;0;0;0;0;1384637299154096130;
232950688;jjavipg;1;0;0;0;0;232950688;
118161744;karenraffernau;1;0;0;0;0;118161744;
705724480182722560;RUrrutiaperez;1;0;0;0;0;705724480182722560;
823589513108869121;JamboHuracanboy;1;0;0;0;0;823589513108869121;
1917530497;Samuraik1d;1;0;0;0;0;1917530497;
1250883787271155712;Stephiee_c;1;0;0;0;0;1250883787271155712;
202899776;Roomy_h2;1;0;0;0;0;202899776;
1068571692;pazinostroza_;1;0;0;0;0;1068571692;
195544053;jaaaachi;1;0;0;0;0;195544053;
286477632;manuelvidaly;1;0;0;0;0;286477632;
4309811781;delpieropropied;1;0;0;0;0;4309811781;
916049721998921728;tazonizatecl;1;0;0;0;0;916049721998921728;
116596834;Srherreraneira;1;0;0;0;0;116596834;
214727609;capitancianuro;1;0;0;0;0;214727609;
335951959;maitebrunetti;1;0;0;0;0;335951959;
564239078;SinAccidentes;1;0;0;0;0;564239078;
976239506562174977;amaliaferpp;1;0;0;0;0;976239506562174977;
2353383717;tamyfernandois;1;0;0;0;0;2353383717;
635777956;jemco1420;1;0;0;0;0;635777956;
1323478774818758656;Waleska00199903;1;0;0;0;0;1323478774818758656;
1186725245316673536;David13386388;1;0;0;0;0;1186725245316673536;
3002578191;jazmina55042405;1;0;0;0;0;3002578191;
1267901480511602688;Titoper16625641;1;0;0;0;0;1267901480511602688;
285232026;unknownatt;1;0;0;0;0;285232026;
1902200348;StephiRodr;1;0;0;0;0;1902200348;
2450240982;SBSportsN;1;0;0;0;0;2450240982;
504721862;negripes;1;0;0;0;0;504721862;
1012512948290547712;FisicaUsach;1;0;0;0;0;1012512948290547712;
1343982193882902528;M4rtin42139269;1;0;0;0;0;1343982193882902528;
113618190;pazdelamaza;1;0;0;0;0;113618190;
107316128;aupazabala;1;0;0;0;0;107316128;
853027726160261120;patyandraded;1;0;0;0;0;853027726160261120;
1199109708348567553;Cintita25560574;1;0;0;0;0;1199109708348567553;
740625223159025665;picalajaiba;1;0;0;0;0;740625223159025665;
1029702662445400066;hNeBHUlLJhBbwFH;1;0;0;0;0;1029702662445400066;
22309781;FelipeParadaM;1;0;0;0;0;22309781;
108682674;Gina_M_M;1;0;0;0;0;108682674;
180240534;magdalopezc;1;0;0;0;0;180240534;
105892305;Loretoandrea_vp;1;0;0;0;0;105892305;
3299591374;eriarianapaicor;1;0;0;0;0;3299591374;
1214691069008457728;CesarManuelFer6;1;0;0;0;0;1214691069008457728;
1360100596443992064;Todos_aqui_;1;0;0;0;0;1360100596443992064;
118485598;Jorgeignaciobv;1;0;0;0;0;118485598;
2653160236;J__castaneda;1;0;0;0;0;2653160236;
2918770271;radiovictorjara;1;0;0;0;0;2918770271;
64927505;rodrigojorge77;1;0;0;0;0;64927505;
208018736;elsergioramirez;1;0;0;0;0;208018736;
66618275;HQGatica;1;0;0;0;0;66618275;
1212889932949159937;Elayun6;1;0;0;0;0;1212889932949159937;
1350966653367021575;ChitPolst;1;0;0;0;0;1350966653367021575;
1398114064740519936;ssanderssonnss;1;0;0;0;0;1398114064740519936;
266821580;jimenaivo;1;0;0;0;0;266821580;
1160968707100893190;GiulianaParga;1;0;0;0;0;1160968707100893190;
197975658;Benitaav;1;0;0;0;0;197975658;
3885932172;ReyesAgueroBiol;1;0;0;0;0;3885932172;
539217899;nanometraje;1;0;0;0;0;539217899;
262734732;nahundecuba;1;0;0;0;0;262734732;
889955937313849344;ClmonterUC;1;0;0;0;0;889955937313849344;
796426905465528320;vidatrekkingc;1;0;0;0;0;796426905465528320;
473642897;carolinecosta73;1;0;0;0;0;473642897;
1478072436;MaxAsenjo;1;0;0;0;0;1478072436;
1157268028951863296;Ensimismada1;1;0;0;0;0;1157268028951863296;
473978272;soysancarlos;1;0;0;0;0;473978272;
3370958489;wendal351;1;0;0;0;0;3370958489;
818512610236764162;InkaTrafkin;1;0;0;0;0;818512610236764162;
118391074;Conde1976;1;0;0;0;0;118391074;
107073089;natyincaelo;1;0;0;0;0;107073089;
437904948;MichuuSwagg;1;0;0;0;0;437904948;
845427008;AlexFMCoach;1;0;0;0;0;845427008;
90772101;jaimeibakatxe;1;0;0;0;0;90772101;
2951640987;damian_munizaga;1;0;0;0;0;2951640987;
2682175450;leandromineiro;1;0;0;0;0;2682175450;
19944944;mkarich;1;0;0;0;0;19944944;
152812432;BranerGrondona;1;0;0;0;0;152812432;
1295023709531648001;Doyle_sacd;1;0;0;0;0;1295023709531648001;
375694793;aneflosrios;1;0;0;0;0;375694793;
856348760;Cabify_Chile;1;0;0;0;0;856348760;
1387436836608434180;SocialistasDJ;1;0;0;0;0;1387436836608434180;
237132003;jorgeodiaz;1;0;0;0;0;237132003;
3319248689;UrMoroDeLaV;1;0;0;0;0;3319248689;
1026639961477525504;holafaro;1;0;0;0;0;1026639961477525504;
847962311549755392;TripeSevenPro;1;0;0;0;0;847962311549755392;
990448216838692864;Campo_Ambiente;1;0;0;0;0;990448216838692864;
1259221812145258501;GastonLib;1;0;0;0;0;1259221812145258501;
378174334;LechUzaconmono;1;0;0;0;0;378174334;
126953132;Crisroo;1;0;0;0;0;126953132;
1096456831327703040;vlepelop;1;0;0;0;0;1096456831327703040;
1257551820051931136;Luxian00;1;0;0;0;0;1257551820051931136;
930051737083408386;Gperezlagos;1;0;0;0;0;930051737083408386;
1184821716079517696;VotacionesLINEA;1;0;0;0;0;1184821716079517696;
997930653030199296;ridicu_lesa;1;0;0;0;0;997930653030199296;
4569193693;QuinoaLab;1;0;0;0;0;4569193693;
998800723314913280;Coniferasss;1;0;0;0;0;998800723314913280;
2546761855;WeAreLogikk;1;0;0;0;0;2546761855;
103620040;vendisuones;1;0;0;0;0;103620040;
4171579863;valegaticag;1;0;0;0;0;4171579863;
226592286;Arredondo28;1;0;0;0;0;226592286;
716858826;cannes_chile;1;0;0;0;0;716858826;
2802002064;cabarahonac;1;0;0;0;0;2802002064;
1071499269880901639;ChalecosAmarill;1;0;0;0;0;1071499269880901639;
986234378173939712;leivapab;1;0;0;0;0;986234378173939712;
202044419;florespumilio;1;0;0;0;0;202044419;
1366129274256826371;ChileansOfLate;1;0;0;0;0;1366129274256826371;
2895998433;ManquiNatividad;1;0;0;0;0;2895998433;
1286697640021942272;Claudito09;1;0;0;0;0;1286697640021942272;
1324751241482817542;Alejand73864440;1;0;0;0;0;1324751241482817542;
1182352022063996928;rosalux_conosur;1;0;0;0;0;1182352022063996928;
1379775846089547780;TinaSex68812341;1;0;0;0;0;1379775846089547780;
3103133981;reset5432101;1;0;0;0;0;3103133981;
1398318701141766149;Claudio95790916;1;0;0;0;0;1398318701141766149;
3167214707;EcoSelloBolivia;1;0;0;0;0;3167214707;
2473025251;Carsten_Rahbek;1;0;0;0;0;2473025251;
3913639395;jotita49;1;0;0;0;0;3913639395;
104793898;gemmam44;1;0;0;0;0;104793898;
1101159653071900672;Claudio_BW;1;0;0;0;0;1101159653071900672;
1353716486477590533;JosManu73016422;1;0;0;0;0;1353716486477590533;
60186474;pollovel;1;0;0;0;0;60186474;
193979356;axelm16;1;0;0;0;0;193979356;
149305786;andreshla;1;0;0;0;0;149305786;
205915972;marckocalavera;1;0;0;0;0;205915972;
122096315;ItoDeo;1;0;0;0;0;122096315;
2891525707;GersonPino14;1;0;0;0;0;2891525707;
159336107;antonio_mondaca;1;0;0;0;0;159336107;
328265182;schnettasenjo;1;0;0;0;0;328265182;
2277215302;martinjrl;1;0;0;0;0;2277215302;
1399565788902793284;MisNoticias2021;1;0;0;0;0;1399565788902793284;
51183232;Rebelmisstake;1;0;0;0;0;51183232;
1153860983674351616;Trutru52472633;1;0;0;0;0;1153860983674351616;
155031323;NegraTorresA;1;0;0;0;0;155031323;
1272496947807617024;69Alwaysfree;1;0;0;0;0;1272496947807617024;
2340434021;valparaiso2016;1;0;0;0;0;2340434021;
1415969575;danielalek21;1;0;0;0;0;1415969575;
2782917988;maedo87;1;0;0;0;0;2782917988;
857613291060899842;Victori02475250;1;0;0;0;0;857613291060899842;
2154509476;montiel710;1;0;0;0;0;2154509476;
147625654;sis78sa;1;0;0;0;0;147625654;
532443759;jorgesolimano;1;0;0;0;0;532443759;
76216069;pipenio;1;0;0;0;0;76216069;
187788349;luis___araya;1;0;0;0;0;187788349;
792309182;HoracioSerto;1;0;0;0;0;792309182;
4765535775;Osvaldo32385325;1;0;0;0;0;4765535775;
2996778567;que_estudiar;1;0;0;0;0;2996778567;
300039280;misterrblack;1;0;0;0;0;300039280;
2458485307;ATCformacionGS;1;0;0;0;0;2458485307;
1003275836;Rowebac;1;0;0;0;0;1003275836;
84571775;sivan134;1;0;0;0;0;84571775;
2465145164;leonorgaete;1;0;0;0;0;2465145164;
815275466;iurxua;1;0;0;0;0;815275466;
1362898948420210688;CalilaLaRevolu1;1;0;0;0;0;1362898948420210688;
791540209129234432;anasaldiviam;1;0;0;0;0;791540209129234432;
733651386257313792;exi2762;1;0;0;0;0;733651386257313792;
829314821225066496;RCANacional;1;0;0;0;0;829314821225066496;
885177114605047808;tinchomza93;1;0;0;0;0;885177114605047808;
942775872775512064;kimcheapp;1;0;0;0;0;942775872775512064;
305669287;SalgadoCami;1;0;0;0;0;305669287;
1200101912164675590;Bola816032740;1;0;0;0;0;1200101912164675590;
3340269358;adelgompick;1;0;0;0;0;3340269358;
1376211983972847622;MaggieMc_LeanP;1;0;0;0;0;1376211983972847622;
1390082939208228864;diarionegrosob1;1;0;0;0;0;1390082939208228864;
118545251;consumancilla;1;0;0;0;0;118545251;
551442999;LeonardoDavidCL;1;0;0;0;0;551442999;
1259893662969925635;AlexMon50243302;1;0;0;0;0;1259893662969925635;
18555749;Gonzaloide_;1;0;0;0;0;18555749;
850907702259798016;Carlos45092753;1;0;0;0;0;850907702259798016;
113046794;paolasalazarv77;1;0;0;0;0;113046794;
1044075844182986752;EllaMatamala;1;0;0;0;0;1044075844182986752;
2069851;xteban;1;0;0;0;0;2069851;
3105877505;vhjesa;1;0;0;0;0;3105877505;
539553355;robleval;1;0;0;0;0;539553355;
1376617524847120385;cydiance;1;0;0;0;0;1376617524847120385;
